Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Goal_Contribution_90,Expected_Goal_Contribution_90,G_per_xG,Ast_per_xAG,Progressive_Actions_90,Goal_Involvement_Per_Match,Shot_Conversion_Rate,Expected_Assist_Efficiency,Pass_to_Goal_Efficiency,Total_Contribution_Index
Michael Olise,fr FRA,"FW,MF",Crystal Palace,21,2001,19,14,1275,14.2,10.0,6.0,16.0,9.0,1.0,1.0,0.0,0.0,5.5,4.7,5.8,10.5,68.0,78.0,134.0,1.06,0.8,0.0748235294117647,0.7976470588235294,0.1927272727272727,0.5132743362831858,10.305882352941175,0.05578947368421053,0.19272727272727275,0.07435897435897436,73.58490566037736,11.103529411764708
Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,18,15,1221,13.6,4.0,10.0,14.0,4.0,0.0,0.0,2.0,0.0,2.4,2.4,11.5,14.0,47.0,111.0,133.0,1.03,1.03,0.0759213759213759,1.0245700245700244,0.4291666666666667,0.8273381294964028,11.646191646191646,0.05722222222222222,0.4291666666666667,0.1036036036036036,107.76699029126213,12.670761670761673
Diogo Jota,pt POR,FW,Liverpool,26,1996,21,14,1145,12.7,10.0,3.0,13.0,10.0,0.0,0.0,3.0,1.0,5.3,5.3,3.3,8.6,54.0,34.0,111.0,1.02,0.68,0.0801746724890829,0.6759825327510917,0.1924528301886792,0.3837209302325581,6.91703056768559,0.04857142857142857,0.19245283018867926,0.09705882352941175,33.333333333333336,7.593013100436681
Richarlison,br BRA,FW,Tottenham,26,1997,28,18,1491,16.6,11.0,4.0,15.0,11.0,0.0,0.0,3.0,0.0,9.6,9.6,2.1,11.7,26.0,38.0,106.0,0.91,0.7,0.0549295774647887,0.7062374245472837,0.0947916666666666,0.1794871794871795,3.86317907444668,0.0325,0.09479166666666668,0.05526315789473685,41.75824175824176,4.569416498993964
Ollie Watkins,eng ENG,FW,Aston Villa,27,1995,37,37,3217,35.7,19.0,13.0,32.0,19.0,0.0,0.0,4.0,0.0,16.8,16.8,7.3,24.2,62.0,55.0,214.0,0.9,0.68,0.0251787379546161,0.674230649673609,0.0535714285714285,0.3029045643153527,3.2732359341000934,0.024324324324324326,0.05357142857142857,0.13272727272727272,61.11111111111111,3.9474665837737017
Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,25,1997,21,7,802,8.9,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,3.6,3.6,3.2,6.8,45.0,34.0,79.0,0.9,0.76,0.1009975062344139,0.7630922693266834,0.25,0.4705882352941176,8.865336658354115,0.04285714285714286,0.25,0.09411764705882353,37.77777777777778,9.628428927680797
Erling Haaland,no NOR,FW,Manchester City,23,2000,31,29,2552,28.4,27.0,5.0,32.0,20.0,7.0,8.0,1.0,0.0,29.2,22.9,4.3,27.2,35.0,26.0,126.0,0.88,1.18,0.0310344827586206,1.181426332288401,0.0301369863013698,0.1283582089552238,2.1512539184952977,0.02838709677419355,0.030136986301369864,0.16538461538461538,29.545454545454547,3.332680250783699
Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,35,33,2857,31.7,19.0,8.0,27.0,19.0,0.0,0.0,2.0,0.0,10.3,10.3,8.4,18.7,93.0,168.0,269.0,0.85,0.59,0.0267763388169408,0.5890794539726988,0.0825242718446601,0.4491978609625668,8.221911095554777,0.024285714285714285,0.08252427184466019,0.05,197.64705882352942,8.810990549527476
Darwin Núñez,uy URU,FW,Liverpool,24,1999,36,22,2047,22.7,11.0,8.0,19.0,11.0,0.0,1.0,9.0,0.0,16.3,15.5,6.0,21.5,58.0,54.0,206.0,0.84,0.98,0.0369320957498778,0.9804592085979482,0.0515337423312883,0.2690582959641255,4.924279433317049,0.02333333333333333,0.05153374233128834,0.1111111111111111,64.28571428571429,5.904738641914998
Leon Bailey,jm JAM,"MF,FW",Aston Villa,25,1997,35,22,2068,23.0,10.0,9.0,19.0,10.0,0.0,0.0,5.0,0.0,6.3,6.3,9.2,15.5,102.0,82.0,226.0,0.83,0.67,0.0361218568665377,0.6745647969052224,0.1317460317460317,0.5935483870967742,8.007736943907156,0.023714285714285712,0.13174603174603175,0.1121951219512195,98.79518072289157,8.68230174081238
Cole Palmer,eng ENG,"FW,MF",Chelsea,21,2002,33,29,2607,29.0,22.0,11.0,33.0,13.0,9.0,9.0,7.0,0.0,18.2,11.1,11.1,22.2,117.0,197.0,195.0,0.83,1.01,0.0286536248561565,1.01150747986191,0.0456043956043956,0.378839590443686,10.840046029919447,0.02515151515151515,0.0456043956043956,0.05634517766497462,237.34939759036146,11.851553509781358
Mohamed Salah,eg EGY,FW,Liverpool,31,1992,32,28,2534,28.2,18.0,10.0,28.0,13.0,5.0,7.0,2.0,0.0,21.2,15.5,11.8,27.3,98.0,147.0,341.0,0.82,1.17,0.0291239147592738,1.1720599842146804,0.0386792452830188,0.3575757575757576,8.701657458563536,0.025625,0.038679245283018866,0.08027210884353742,179.26829268292684,9.873717442778215
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25,1997,20,12,1042,11.6,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,4.7,4.7,1.7,6.4,8.0,14.0,45.0,0.78,0.56,0.0673704414587332,0.5527831094049904,0.1659574468085106,0.265625,1.9001919385796544,0.039,0.16595744680851063,0.12142857142857143,17.94871794871795,2.4529750479846446
Son Heung-min,kr KOR,FW,Tottenham,31,1992,35,34,2934,32.6,17.0,10.0,27.0,15.0,2.0,2.0,1.0,0.0,12.0,10.4,11.8,22.2,119.0,139.0,325.0,0.77,0.73,0.0236196319018404,0.7300613496932516,0.0641666666666666,0.4957983193277311,7.914110429447852,0.022000000000000002,0.06416666666666666,0.08489208633093526,180.5194805194805,8.644171779141104
